Date,Close,Return,RealizedVol,VIX,HY_OAS,GPR,CESI,PMI_change,PutCall,HHI,MeanCorr,f_bur,f_cat,f_sent,f_mac,f_liq,C_norm
2019-10-15,2995.679932,0.00990645,0.13966154,13.53999996,4.01,108.0695877,15.9,-0.4,0.55,0.10882328,0.67317658,-0.99497998,0.00404712,-0.46096303,0.38289341,-0.51846823,0.71494622
2019-10-16,2989.689941,-0.00200154,0.13948221,13.68000031,4.01,193.5018616,13.6,-0.4,0.63,0.10890552,0.66869788,-0.99480952,0.86923267,0.08916279,0.33479299,-0.51841956,0.71025901
2019-10-17,2997.949951,0.00275902,0.13986316,13.78999996,4,114.7723541,8.2,-0.4,0.65,0.1090504,0.66444707,-0.99451945,0.10747206,0.23206865,0.21520151,-0.52108044,0.70581032
2019-10-18,2986.199951,-0.00392705,0.14047354,14.25,4.02,106.5819702,8,-0.4,0.69,0.10888588,0.66854718,-0.99478643,-0.01923052,0.48564275,0.21059433,-0.51560131,0.7101013
2019-10-21,3006.719971,0.00684811,0.14154244,14,3.98,93.44337463,7.2,-0.4,0.61,0.10865131,0.66356557,-0.99515512,-0.2195236,-0.05767084,0.19215086,-0.52637291,0.70488778
2019-10-22,2995.98999,-0.00357505,0.14215595,14.46000004,3.99,54.30438614,6.6,-0.4,0.61,0.10880699,0.66294923,-0.99486535,-0.68082704,-0.05766572,0.17822233,-0.52363382,0.70424274
2019-10-23,3004.52002,0.0028431,0.13897647,14.01000023,3.98,97.05612183,6,-0.4,0.69,0.10876541,0.66931331,-0.99490812,-0.16542136,0.485684,0.16422225,-0.52627463,0.7109031
2019-10-24,3010.290039,0.0019186,0.13762093,13.71000004,3.96,116.306015,5.6,-0.4,0.68,0.10863889,0.67513385,-0.99509228,0.13111852,0.42748585,0.15484516,-0.53157435,0.71699461
2019-10-25,3022.550049,0.00406443,0.13777417,12.64999962,3.89,140.8746948,4.9,-0.4,0.56,0.10865199,0.681342,-0.9950424,0.47249746,-0.40158081,0.13838306,-0.54991701,0.72349176
2019-10-28,3039.419922,0.00556582,0.13691953,13.10999966,3.85,98.29577637,3,-0.4,0.51,0.10897058,0.64877618,-0.99445239,-0.1467366,-0.66018374,0.0933677,-0.56014401,0.68940989
